name,price
Autograph: Dendi The Superman,0.87
Contessa's Creed Hat,0.87
Taunt: Not Just Your Average Bear,0.87
Inscribed Offhand Basher of Mage Skulls,0.85
Mask of the Confidant,0.85
Mask of the Confidant,0.85
Chasm of the Broken Code Armor,0.84
Chasm of the Broken Code Armor,0.84
Dark Meadow Massacre,0.83
Golden Profane Union,0.83
Golden Profane Union,0.83
Genuine Shoulders of the Black Wind Raven,0.82
Lineage Mount of the Raidforged Rider,0.82
Lineage Mount of the Raidforged Rider,0.82
Merry Wanderer's Brush,0.82
Axes of the Wild Tamer,0.81
Inscribed Atomic Ray Thrusters,0.81
Scavenging Guttleslug,0.81
Style of the Emerald Insurgence,0.81
Taunt:  Chain Break Dance,0.81
Taunt:  Chain Break Dance,0.81
Dormant Oblivion,0.8
Malefic Drake's Hood,0.8
Scavenging Guttleslug,0.79
Skirt of the Revenant,0.79
Vigil Signet,0.79
Fury of the Damned,0.78
Malefic Drake's Hood,0.78
Armlet of Reckless Vigor,0.77
Belt of the King Restored,0.77
Belt of the King Restored,0.77
Inscribed The Barren Vector,0.77
Mask of the Monument of Ruin,0.77
Taunt: Bring It On,0.77
Taunt: Bring It On,0.77
Taunt: Fiendish Swag!,0.77
Tormented Staff,0.77
Crown of Tears,0.76
Crown of Tears,0.76
Taunt: Funk of the Dead,0.76
Gambits of Nishai Helm,0.75
Taunt: Bring It On,0.75
Taunt: Timeless Classic,0.75
Taunt: Timeless Classic,0.75
Unbroken Fealty,0.75
Unbroken Fealty,0.75
Pale Augur,0.74
Immortal Treasure II 2018,0.73
Blood Chaser,0.72
Frostglade Familiar,0.72
Shearing Deposition,0.72
Sufferwood Sapling,0.72
Virulent Matriarch's Legs,0.72
Immortal Treasure II 2018,0.71
Resistive Pinfold,0.71
Sky-High Warship,0.71
Abyssal Hellclaw,0.69
Legs of the Forbidden Sands,0.69
Patterns of the Pristine,0.69
Patterns of the Pristine,0.69
Serac the Seal,0.69
Autographed Resistive Pinfold,0.68
Jade Reckoning,0.68
Jade Reckoning,0.68
Tempest Revelation,0.68
Infused Aquemerald Blade,0.67
Tail of the Frostbite Dunes,0.66
Autographed Jade Reckoning,0.65
Baneful Devotion,0.65
Baneful Devotion,0.65
Baneful Devotion,0.65
Inscribed Club of the Igneous Stone,0.65
Thornwatch,0.65
Thornwatch,0.65
Belt of the Crystal Drift,0.64
Chasm of the Broken Code Helm,0.63
Shadow Masquerade,0.63
Twilight Effigy,0.63
Banners of the Arctic Hall,0.62
Taunt: Bananadancer,0.62
Adoring Wingfall,0.61
Adoring Wingfall,0.61
Chasm of the Broken Code Helm,0.61
Complete Hood of the Psion Inquisitor,0.61
Inscribed Edge of the Lost Order,0.61
Witch Hunt,0.61
Head of the Icewrack Marauder,0.6
Icewrack's Fist,0.6
Transversant Soul,0.6
Transversant Soul,0.6
Wyrmwrought Flare,0.6
Wyrmwrought Flare,0.6
Crimson Cyrridae,0.59
Ire of the Hinterlands,0.59
Treasure of the Frosted Flame,0.59
Unblinking Eternity,0.59
Unblinking Eternity,0.59
Edge of the Lost Order,0.58
Heroic Effigy of Fame,0.58
Immortal Treasure III 2019,0.58
Immortal Treasure III 2019,0.58
Boreal Sigil,0.57
Crimson Cyrridae,0.57
Crimson Cyrridae,0.57
Mandate of the Nameless - Crown,0.57
Taunt: Fit to Rule,0.57
Raider's Patch,0.56
Taunt: Rolling Stone!,0.56
Vestments of the Blackguard Magus,0.56
Vestments of the Blackguard Magus,0.56
Frightful Revelries,0.55
Genuine Chieftain Belt of the Chaos Wastes,0.55
Horns of the Betrayer,0.55
Horns of the Betrayer,0.55
Mecha Boots of Travel Mk III,0.55
Mecha Boots of Travel Mk III,0.55
Sunken Snapper,0.55
Whispers of the Damned Head,0.55
Inscribed Phantom Concord,0.54
Sorcerer of the Black Pool,0.54
Taunt: Giddy Up!,0.54
Taunt: Giddy Up!,0.54
Unusual Naked Greevil,0.54
Wraithbinder,0.54
Wraithbinder,0.54
Arc of Manta,0.53
Arc of Manta - Off-Hand,0.53
Auspicious Crest of the Wyrm Lords,0.53
Garb of the Cruel Magician Set,0.53
Tail of the Forbidden Sands,0.53
Whispers of the Damned Head,0.53
Winter Lineage Hunter's Dawn,0.52
Wraithbinder,0.52
Bow of the Frostfangs,0.51
Cataclysm Edge,0.51
Golden Crucible of Rile,0.51
Head of the Raidforged Rider,0.51
Triumph of the Four Corners,0.51
Unusual Seraphic Greevil,0.51
Staff of Gun-Yu,0.5
